Rok,Miesiąc,Rodzaj świadczenia,Rozopznanie (Kod ICD-10),Liczba świadczeń,Kategoria
2014,kwiecień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,kwiecień,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),8,Piesi
2014,kwiecień,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),11,Piesi
2014,kwiecień,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),12,Piesi
2014,kwiecień,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),15,Piesi
2014,maj,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),12,Piesi
2014,maj,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),7,Piesi
2014,maj,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),19,Piesi
2014,maj,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),5,Piesi
2014,maj,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),15,Piesi
2014,maj,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),14,Piesi
2014,czerwiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),15,Piesi
2014,czerwiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,czerwiec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,czerwiec,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),16,Piesi
2014,czerwiec,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),7,Piesi
2014,czerwiec,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),25,Piesi
2014,czerwiec,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),20,Piesi
2014,czerwiec,pozostałe,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,lipiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),18,Piesi
2014,lipiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,lipiec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,lipiec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,lipiec,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),23,Piesi
2014,lipiec,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),11,Piesi
2014,lipiec,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),32,Piesi
2014,lipiec,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),15,Piesi
2014,sierpień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),20,Piesi
2014,sierpień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,sierpień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,sierpień,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),22,Piesi
2014,sierpień,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),7,Piesi
2014,sierpień,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),26,Piesi
2014,sierpień,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),20,Piesi
2014,wrzesień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),14,Piesi
2014,wrzesień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,wrzesień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,wrzesień,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),18,Piesi
2014,wrzesień,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),8,Piesi
2014,wrzesień,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),21,Piesi
2014,wrzesień,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),10,Piesi
2014,październik,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),11,Piesi
2014,październik,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,październik,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),12,Piesi
2014,październik,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),11,Piesi
2014,październik,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),22,Piesi
2014,październik,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),10,Piesi
2014,październik,pozostałe,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,listopad,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),10,Piesi
2014,listopad,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,listopad,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,listopad,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2014,listopad,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,listopad,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),6,Piesi
2014,listopad,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),12,Piesi
2014,grudzień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,grudzień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,grudzień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2014,grudzień,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),6,Piesi
2014,grudzień,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2014,grudzień,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),9,Piesi
2014,grudzień,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),6,Piesi
2015,styczeń,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,styczeń,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,styczeń,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,styczeń,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),7,Piesi
2015,styczeń,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),5,Piesi
2015,styczeń,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),11,Piesi
2015,luty,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),5,Piesi
2015,luty,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,luty,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,luty,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,luty,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,luty,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,luty,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),6,Piesi
2015,luty,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),7,Piesi
2015,marzec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),6,Piesi
2015,marzec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,marzec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,marzec,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),5,Piesi
2015,marzec,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),6,Piesi
2015,marzec,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),8,Piesi
2015,marzec,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),7,Piesi
2015,marzec,pozostałe,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,kwiecień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),6,Piesi
2015,kwiecień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,kwiecień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,kwiecień,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),9,Piesi
2015,kwiecień,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),8,Piesi
2015,kwiecień,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),10,Piesi
2015,kwiecień,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),18,Piesi
2015,kwiecień,pozostałe,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,maj,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),11,Piesi
2015,maj,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,maj,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2015,maj,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,maj,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),13,Piesi
2015,maj,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),11,Piesi
2015,maj,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),15,Piesi
2015,maj,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),16,Piesi
2015,czerwiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),16,Piesi
2015,czerwiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,czerwiec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,czerwiec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,czerwiec,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),27,Piesi
2015,czerwiec,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),9,Piesi
2015,czerwiec,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),34,Piesi
2015,czerwiec,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),16,Piesi
2015,czerwiec,pozostałe,Pieszy ranny w kolizji z rowerem (V01),22,Piesi
2015,czerwiec,pozostałe,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),6,Piesi
2015,lipiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),17,Piesi
2015,lipiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),6,Piesi
2015,lipiec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,lipiec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,lipiec,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),13,Piesi
2015,lipiec,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),9,Piesi
2015,lipiec,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),29,Piesi
2015,lipiec,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),21,Piesi
2015,lipiec,pozostałe,Pieszy ranny w kolizji z rowerem (V01),9,Piesi
2015,lipiec,pozostałe,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),24,Piesi
2015,sierpień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),8,Piesi
2015,sierpień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,sierpień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),6,Piesi
2015,sierpień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,sierpień,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),23,Piesi
2015,sierpień,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),9,Piesi
2015,sierpień,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),33,Piesi
2015,sierpień,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),20,Piesi
2015,wrzesień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),13,Piesi
2015,wrzesień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),5,Piesi
2015,wrzesień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2015,wrzesień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,wrzesień,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),12,Piesi
2015,wrzesień,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),18,Piesi
2015,wrzesień,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),12,Piesi
2015,wrzesień,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),11,Piesi
2015,wrzesień,pozostałe,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,październik,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),8,Piesi
2015,październik,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),16,Piesi
2015,październik,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,październik,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),5,Piesi
2015,październik,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),5,Piesi
2015,październik,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),11,Piesi
2015,październik,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),14,Piesi
2015,październik,pozostałe,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,listopad,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),5,Piesi
2015,listopad,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,listopad,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2015,listopad,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,listopad,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,listopad,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),5,Piesi
2015,listopad,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),5,Piesi
2015,listopad,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),9,Piesi
2015,grudzień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,grudzień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,grudzień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2015,grudzień,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),6,Piesi
2015,grudzień,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2015,grudzień,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2015,grudzień,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),15,Piesi
2016,styczeń,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,styczeń,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,styczeń,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,styczeń,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,styczeń,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,styczeń,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2016,styczeń,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),6,Piesi
2016,styczeń,pozostałe,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,luty,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),5,Piesi
2016,luty,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),5,Piesi
2016,luty,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,luty,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),13,Piesi
2016,luty,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),16,Piesi
2016,marzec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,marzec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,marzec,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,marzec,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),6,Piesi
2016,marzec,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,marzec,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),8,Piesi
2016,marzec,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),8,Piesi
2016,marzec,pozostałe,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,kwiecień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2016,kwiecień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,kwiecień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,kwiecień,Ambulatoryjna opieka specjalistyczna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,kwiecień,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,kwiecień,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,kwiecień,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),7,Piesi
2016,kwiecień,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),6,Piesi
2016,kwiecień,pozostałe,Pieszy ranny w kolizji z rowerem (V01),<5,Piesi
2016,maj,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),15,Piesi
2016,maj,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,maj,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),14,Piesi
2016,maj,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,maj,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),26,Piesi
2016,maj,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),15,Piesi
2016,czerwiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),21,Piesi
2016,czerwiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,czerwiec,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),12,Piesi
2016,czerwiec,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,czerwiec,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),28,Piesi
2016,czerwiec,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),9,Piesi
2016,lipiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),14,Piesi
2016,lipiec,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,lipiec,Leczenie szpitalne,Pieszy ranny w kolizji z rowerem (V01),10,Piesi
2016,lipiec,Leczenie szpitalne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,lipiec,Ratownictwo medyczne,Pieszy ranny w kolizji z rowerem (V01),32,Piesi
2016,lipiec,Ratownictwo medyczne,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),9,Piesi
2016,lipiec,pozostałe,Pieszy ranny w kolizji z dwu lub trzykolowym pojazdem mechanicznym (V02),<5,Piesi
2016,sierpień,Podstawowa opieka zdrowotna,Pieszy ranny w kolizji z rowerem (V01),25,Piesi
